Ride Name,Land,Latitude,Longitude,Number Nam,Park Name,country,district,state,capacidade
Disney and Pixar Short Film Festival,World Celebration,"28.372358","-81.5507744","5",Epcot,USA,Lake Buena Vista,FL,"1000"
Journey Into Imagination With Figment,World Celebration,"28.3729538","-81.5512465","5",Epcot,USA,Lake Buena Vista,FL,"1000"
Spaceship Earth,World Celebration,"28.375478","-81.549383","5",Epcot,USA,Lake Buena Vista,FL,"2160"
Guardians of the Galaxy: Cosmic Rewind - New!,World Discovery,"28.3748594","-81.5481175","5",Epcot,USA,Lake Buena Vista,FL,"1800"
Mission: SPACE,World Discovery,"28.373924","-81.546974","5",Epcot,USA,Lake Buena Vista,FL,"1440"
Test Track,World Discovery,"28.3729193","-81.5473327","5",Epcot,USA,Lake Buena Vista,FL,"1080"
Awesome Planet,World Nature,"28.3744655","-81.5523516","5",Epcot,USA,Lake Buena Vista,FL,"1000"
Living with the Land,World Nature,"28.3741368","-81.5524139","5",Epcot,USA,Lake Buena Vista,FL,"1440"
Soarin' Around the World,World Nature,"28.3736843","-81.5520975","5",Epcot,USA,Lake Buena Vista,FL,"1879"
The Seas with Nemo & Friends,World Nature,"28.374911","-81.55068","5",Epcot,USA,Lake Buena Vista,FL,"1980"
Turtle Talk With Crush,World Nature,"28.3751855","-81.5505524","5",Epcot,USA,Lake Buena Vista,FL,"450"
Canada Far and Wide in Circle-Vision 360,World Showcase,"28.3719272","-81.5516793","5",Epcot,USA,Lake Buena Vista,FL,"1000"
Frozen Ever After,World Showcase,"28.3706896","-81.5465529","6",Epcot,USA,Lake Buena Vista,FL,"900"
Gran Fiesta Tour Starring The Three Caballeros,World Showcase,"28.3720411","-81.5469884","5",Epcot,USA,Lake Buena Vista,FL,"1000"
Meet Anna and Elsa at Royal Sommerhus,World Showcase,"28.3709881","-81.5472084","5",Epcot,USA,Lake Buena Vista,FL,"350"
Remy's Ratatouille Adventure,World Showcase,"28.3685081","-81.5530764","5",Epcot,USA,Lake Buena Vista,FL,"2220"
A Pirate's Adventure ~ Treasures of the Seven Seas,Adventureland,"28.4184079","-81.5846552","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1400"
Jungle Cruise,Adventureland,"28.4180243","-81.5833917","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1620"
Pirates of the Caribbean,Adventureland,"28.4180058","-81.5842237","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1400"
Swiss Family Treehouse,Adventureland,"28.4182724","-81.5830377","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
The Magic Carpets of Aladdin,Adventureland,"28.4184546","-81.583459","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"495"
Walt Disney's Enchanted Tiki Room,Adventureland,"28.4184052","-81.5837958","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
it's a small world,Fantasyland,"28.4204995","-81.5819057","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"2700"
Dumbo the Flying Elephant,Fantasyland,"28.4204494","-81.5789518","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"900"
Enchanted Tales with Belle,Fantasyland,"28.4208964","-81.5809429","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
Mad Tea Party,Fantasyland,"28.4199161","-81.5797162","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"765"
Meet Ariel at Her Grotto,Fantasyland,"28.4208911","-81.5796217","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"350"
Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,Fantasyland,"28.4200182","-81.5810077","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"350"
Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,Fantasyland,"28.4213674","-81.5790677","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"350"
Mickey's PhilharMagic,Fantasyland,"28.4200777","-81.5814134","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
Peter Pan's Flight,Fantasyland,"28.4203271","-81.5818593","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"720"
Prince Charming Regal Carrousel,Fantasyland,"28.4202069","-81.5811684","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
Seven Dwarfs Mine Train,Fantasyland,"28.4206616","-81.5796686","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1485"
The Barnstormer,Fantasyland,"28.4208556","-81.5785464","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"315"
The Many Adventures of Winnie the Pooh,Fantasyland,"28.4199967","-81.5805233","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"765"
Under the Sea ~ Journey of The Little Mermaid,Fantasyland,"28.4210327","-81.5799707","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1980"
Walt Disney World Railroad - Fantasyland,Fantasyland,"28.4209573","-81.5783784","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
Big Thunder Mountain Railroad,Frontierland,"28.4203078","-81.5845823","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1350"
Country Bear Jamboree,Frontierland,"28.418799","-81.583773","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
Splash Mountain,Frontierland,"28.4192512","-81.5846502","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1080"
Tom Sawyer Island,Frontierland,"28.418579","-81.5812062","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
Walt Disney World Railroad - Frontierland,Frontierland,"28.4194112","-81.5851659","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
